-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Please,0.0324,0.2282,0.0149,0.0859,0.0033,0.0409,0.0562,0.071,0.0468,1.0,0.1755,0.0424,0.0879,0.058,0.0931
enter,0.0078,0.4442,0.094,0.1908,0.035,0.018,0.0409,0.0445,0.0421,1.0,0.133,0.0195,0.0611,0.0783,0.0489
text,1.0,0.1798,0.0225,0.1894,0.0319,0.6408,0.4777,0.2183,0.1057,0.1544,0.1672,0.1134,0.0075,0.1934,0.1665
to,1.0,0.0802,0.031,0.0797,0.0304,0.5153,0.9531,0.0955,0.0659,0.0731,0.0899,0.0631,0.0197,0.1449,0.0785
have,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
context,1.0,0.0788,0.0857,0.0599,0.0564,0.0955,0.1053,0.0866,0.0718,0.0541,0.1025,0.0486,0.0576,0.0397,0.0575
based,0.6931,0.2851,0.1693,0.4955,0.1629,1.0,0.1388,0.9245,0.0529,0.0345,0.1292,0.1371,0.6412,0.3846,0.3469
emojis,0.5747,0.26,0.2268,0.4323,0.0178,1.0,0.2349,0.8247,0.5073,0.092,0.2453,0.0265,0.4635,0.4442,0.3048
added,0.1555,0.3722,0.4629,0.0189,0.1527,0.505,1.0,0.2068,0.5412,0.1576,0.2451,0.2083,0.2968,0.1624,0.2656
to,0.0247,0.0411,0.0702,0.0883,0.1492,0.3821,1.0,0.0226,0.4073,0.1447,0.0091,0.0261,0.0415,0.0151,0.034
it,0.6354,0.1114,0.2278,0.0226,0.1362,1.0,0.059,0.5075,0.3237,0.2548,0.1231,0.2362,0.2586,0.2343,0.336
