Please,enter,text,to,have,context,based,emojis,added,to,it
0.0324,0.0078,1.0,1.0,0.0,1.0,0.6931,0.5747,0.1555,0.0247,0.6354
0.2282,0.4442,0.1798,0.0802,0.0,0.0788,0.2851,0.26,0.3722,0.0411,0.1114
0.0149,0.094,0.0225,0.031,0.0,0.0857,0.1693,0.2268,0.4629,0.0702,0.2278
0.0859,0.1908,0.1894,0.0797,0.0,0.0599,0.4955,0.4323,0.0189,0.0883,0.0226
0.0033,0.035,0.0319,0.0304,0.0,0.0564,0.1629,0.0178,0.1527,0.1492,0.1362
0.0409,0.018,0.6408,0.5153,0.0,0.0955,1.0,1.0,0.505,0.3821,1.0
0.0562,0.0409,0.4777,0.9531,0.0,0.1053,0.1388,0.2349,1.0,1.0,0.059
0.071,0.0445,0.2183,0.0955,0.0,0.0866,0.9245,0.8247,0.2068,0.0226,0.5075
0.0468,0.0421,0.1057,0.0659,0.0,0.0718,0.0529,0.5073,0.5412,0.4073,0.3237
1.0,1.0,0.1544,0.0731,0.0,0.0541,0.0345,0.092,0.1576,0.1447,0.2548
0.1755,0.133,0.1672,0.0899,0.0,0.1025,0.1292,0.2453,0.2451,0.0091,0.1231
0.0424,0.0195,0.1134,0.0631,0.0,0.0486,0.1371,0.0265,0.2083,0.0261,0.2362
0.0879,0.0611,0.0075,0.0197,0.0,0.0576,0.6412,0.4635,0.2968,0.0415,0.2586
0.058,0.0783,0.1934,0.1449,0.0,0.0397,0.3846,0.4442,0.1624,0.0151,0.2343
0.0931,0.0489,0.1665,0.0785,0.0,0.0575,0.3469,0.3048,0.2656,0.034,0.336
